Date,Open,High,Low,Close,Volume
2023-01-31,2.76,2.8,2.58,2.61,202500
2023-01-30,2.79,3.06,2.63,2.77,247900
2023-01-27,2.87,3.24,2.7,2.87,838400
2023-01-26,2.69,3.67,2.62,3.06,5489200
2023-01-25,2.56,2.86,2.35,2.62,2403600
2023-01-24,1.91,3.99,1.7,2.79,68813400
2023-01-23,1.48,1.62,1.48,1.59,44600
2023-01-20,1.53,1.57,1.5,1.52,73800
2023-01-19,1.56,1.65,1.51,1.6,50800
2023-01-18,1.61,1.61,1.5,1.53,51800
2023-01-17,1.7,1.72,1.58,1.61,40700
2023-01-13,1.85,1.91,1.63,1.66,88500
2023-01-12,1.89,2.07,1.85,1.9,50200
2023-01-11,1.87,1.97,1.75,1.86,53600
2023-01-10,1.7,1.93,1.61,1.8,48900
2023-01-09,1.7,1.79,1.61,1.64,31600
2023-01-06,1.94,1.94,1.52,1.6,23300
2023-01-05,1.7,1.7,1.51,1.63,55400
2023-01-04,1.78,1.78,1.49,1.65,70700
2023-01-03,1.8,1.8,1.45,1.56,28300
2022-12-30,1.63,1.78,1.31,1.6,121700
2022-12-29,1.71,1.72,1.6,1.68,45900
2022-12-28,1.72,1.9,1.64,1.72,17100
2022-12-27,1.85,2.07,1.71,1.78,57500
2022-12-23,1.62,2.17,1.62,1.85,42700
2022-12-22,1.62,1.92,1.55,1.81,28000
2022-12-21,1.78,1.89,1.66,1.69,20500
2022-12-20,1.88,1.88,1.71,1.73,60500
2022-12-19,1.97,2.08,1.74,1.88,141700
2022-12-16,1.96,2.02,1.95,1.97,190400
2022-12-15,1.97,2.06,1.96,2.01,48000
2022-12-14,2.02,2.02,1.98,2.01,50400
2022-12-13,2.0,2.05,1.96,2.0,29600
2022-12-12,2.02,2.05,1.96,2.0,36100
2022-12-09,2.5,2.6,1.92,2.02,205900
2022-12-08,2.76,2.76,2.55,2.55,49000
2022-12-07,2.8,3.0,2.52,2.65,36900
2022-12-06,2.97,3.17,2.86,3.02,26600
2022-12-05,2.96,3.19,2.88,3.05,40300
2022-12-02,2.67,2.95,2.66,2.94,33200
2022-12-01,2.73,2.79,2.67,2.77,39700
2022-11-30,2.8,2.84,2.65,2.7,75600
2022-11-29,2.59,2.71,2.57,2.6,16800
2022-11-28,2.54,2.8,2.52,2.64,71800
2022-11-25,2.57,2.62,2.57,2.6,24600
2022-11-23,2.49,2.65,2.49,2.64,36300
2022-11-22,2.57,2.65,2.54,2.65,52900
2022-11-21,2.52,2.65,2.3,2.6,79900
2022-11-18,2.69,2.69,2.53,2.56,19600
2022-11-17,2.54,2.7,2.52,2.65,23800
2022-11-16,2.66,2.78,2.54,2.6,28700
2022-11-15,2.64,2.81,2.55,2.81,42000
2022-11-14,2.75,2.8,2.64,2.75,46900
2022-11-11,2.56,3.0,2.46,2.83,113600
2022-11-10,2.41,2.76,2.41,2.56,81500
2022-11-09,2.6,2.86,2.35,2.38,173400
2022-11-08,2.64,2.78,2.57,2.62,20400
2022-11-07,2.63,2.71,2.55,2.65,45000
2022-11-04,2.87,2.98,2.62,2.63,44400
2022-11-03,2.89,2.95,2.62,2.89,89200
2022-11-02,2.78,2.89,2.78,2.89,68100
2022-11-01,2.79,2.86,2.78,2.8,52300
2022-10-31,2.84,2.88,2.77,2.85,58800
2022-10-28,2.76,2.9,2.67,2.8,103300
2022-10-27,2.76,2.89,2.62,2.75,139700
2022-10-26,2.65,2.93,2.61,2.86,131500
2022-10-25,2.73,2.98,2.56,2.71,170900
2022-10-24,2.66,2.73,2.55,2.65,91600
2022-10-21,2.75,2.88,2.55,2.61,192900
2022-10-20,2.74,2.95,2.7,2.8,146300
2022-10-19,3.13,3.17,2.74,2.9,218000
2022-10-18,3.2,3.25,3.0,3.14,493300
2022-10-17,2.62,3.0,2.56,2.89,163300
2022-10-14,2.63,2.69,2.55,2.62,72900
2022-10-13,2.62,2.79,2.51,2.66,92300
2022-10-12,2.8,2.88,2.61,2.79,158300
2022-10-11,2.77,2.85,2.67,2.8,90200
2022-10-10,2.84,2.95,2.67,2.78,191400
2022-10-07,2.87,3.15,2.8,2.95,185200
2022-10-06,2.73,3.05,2.65,2.9,222600
2022-10-05,2.93,2.96,2.63,2.76,133800
2022-10-04,2.52,2.99,2.52,2.94,259600
2022-10-03,2.9,2.96,2.51,2.51,311700
2022-09-30,2.8,3.07,2.8,2.91,393000
2022-09-29,2.88,3.11,2.75,3.0,1406900
2022-09-28,3.6,4.23,2.79,2.92,50954700
2022-09-27,2.12,2.39,2.1,2.12,458900
2022-09-26,2.15,2.49,2.02,2.12,602500
2022-09-23,2.55,2.6,2.09,2.11,539200
2022-09-22,3.24,3.32,2.68,2.72,364300
2022-09-21,3.67,3.67,3.3,3.32,460300
2022-09-20,3.64,3.9,3.55,3.67,437600
2022-09-19,4.18,4.29,3.78,3.81,342000
2022-09-16,4.45,4.63,4.05,4.3,620500
2022-09-15,4.63,5.38,4.37,4.74,5126100
2022-09-14,5.7,6.8,4.71,4.86,48561400
2022-09-13,4.46,4.56,4.06,4.14,683400
2022-09-12,4.42,4.69,4.36,4.59,1082600
2022-09-09,5.5,5.59,4.65,4.78,1177700
2022-09-08,5.51,6.4,5.33,5.63,2380400
2022-09-07,7.0,7.78,5.6,5.75,12971800
2022-09-06,6.34,6.59,5.08,5.39,2095800
2022-09-02,10.07,12.82,6.96,7.05,16406600
2022-09-01,8.4,15.55,7.52,8.3,10754100
